EStudent,section,ECourse,Obtained,Total,Type
1202,CS1B21,CL1001,9,10,QUIZ
1202,CS1B21,CL1001,8,10,QUIZ
1202,CS1B21,CL1001,7,10,QUIZ
1202,CS1B21,CL1001,15,20,QUIZ
1202,CS1B21,CL1001,19,20,ASSIGNMENT
1202,CS1B21,CL1001,18,20,ASSIGNMENT
1202,CS1B21,CL1001,17,20,ASSIGNMENT
1202,CS1B21,CL1001,15,20,ASSIGNMENT
1202,CS1B21,CL1001,45,50,MID
1202,CS1B21,CL1001,79,100,PROJECT
1202,CS1B21,CL1001,145,150,FINAL
1202,CS1B21,CL1002,9,10,QUIZ
1202,CS1B21,CL1002,8,10,QUIZ
1202,CS1B21,CL1002,7,10,QUIZ
1202,CS1B21,CL1002,15,20,QUIZ
1202,CS1B21,CL1002,19,20,ASSIGNMENT
1202,CS1B21,CL1002,18,20,ASSIGNMENT
1202,CS1B21,CL1002,17,20,ASSIGNMENT
1202,CS1B21,CL1002,15,20,ASSIGNMENT
1202,CS1B21,CL1002,45,50,MID
1202,CS1B21,CL1002,79,100,PROJECT
1202,CS1B21,CL1002,145,150,FINAL
1202,CS1B21,MT1003,8,10,QUIZ
1202,CS1B21,MT1003,6,10,QUIZ
1202,CS1B21,MT1003,7,10,QUIZ
1202,CS1B21,MT1003,18,20,ASSIGNMENT
1202,CS1B21,MT1003,17,20,ASSIGNMENT
1202,CS1B21,MT1003,16,20,ASSIGNMENT
1202,CS1B21,MT1003,19,20,ASSIGNMENT
1202,CS1B21,MT1003,47,50,MID
1202,CS1B21,MT1003,87,100,PROJECT
1202,CS1B21,MT1003,148,150,FINAL
1202,CS1B21,NS1001,7,10,QUIZ
1202,CS1B21,NS1001,8,10,QUIZ
1202,CS1B21,NS1001,6,10,QUIZ
1202,CS1B21,NS1001,16,20,ASSIGNMENT
1202,CS1B21,NS1001,17,20,ASSIGNMENT
1202,CS1B21,NS1001,13,20,ASSIGNMENT
1202,CS1B21,NS1001,30,50,MID
1202,CS1B21,NS1001,77,100,PROJECT
1202,CS1B21,NS1001,138,150,FINAL
1202,CS1B21,SL1004,9,10,QUIZ
1202,CS1B21,SL1004,8,10,QUIZ
1202,CS1B21,SL1004,7,10,QUIZ
1202,CS1B21,SL1004,15,20,QUIZ
1202,CS1B21,SL1004,19,20,ASSIGNMENT
1202,CS1B21,SL1004,18,20,ASSIGNMENT
1202,CS1B21,SL1004,17,20,ASSIGNMENT
1202,CS1B21,SL1004,15,20,ASSIGNMENT
1202,CS1B21,SL1004,45,50,MID
1202,CS1B21,SL1004,79,100,PROJECT
1202,CS1B21,SL1004,145,150,FINAL
1202,CS1B21,SS1002,7,10,QUIZ
1202,CS1B21,SS1002,8,10,QUIZ
1202,CS1B21,SS1002,9,10,QUIZ
